快照日期,board_code,一级行业,二级行业,三级行业,当前排名,当前涨跌幅,今开,最高,最低,现价,振幅,换手率,成交额_亿元,昨日排名,昨日涨跌幅,排名较昨日改善,含今日5日涨跌幅,含今日10日涨跌幅,截至昨日20日涨跌幅,截至昨日60日涨跌幅,当前较60日峰值回撤,6月行情涨跌幅,7月至当前涨跌幅,轮动档位,原始轮动标签,轮动得分,两周涨跌幅,B周涨跌幅,近后半段排名分位,量能后半段前半段比,科技口径
2026-07-17,BK1473,建筑装饰,基础建设,园林工程,287,-3.5900,3362.4400,3388.6300,3224.4200,3233.8800,4.9000,2.0000,8.9095,239,-0.1300,-48,-5.5935,-8.3071,-12.1280,-22.5727,-24.8538,-10.5342,-4.0888,普通轮动,普通轮动,-3.9000,-4.8928,-2.0781,0.6006,0.7747,非核心科技
2026-07-17,BK1293,传媒,广告营销,营销代理,288,-3.6000,4134.4200,4227.9100,3987.9900,3989.7000,5.8000,6.1700,110.3601,16,1.8000,-272,-2.1202,-9.3482,-7.8789,-21.7425,-28.6680,-15.5909,-4.5933,上升轮动,新晋活跃,23.6000,-5.9628,1.5351,0.3976,0.9480,非核心科技
2026-07-17,BK1619,有色金属,金属新材料,其他金属新材料,289,-3.6100,3635.2100,3649.5700,3497.3700,3507.8000,4.1800,1.9800,44.3793,284,-0.7900,-5,-12.1907,-20.8900,-22.4765,-2.8745,-27.7115,6.8508,-21.3722,普通轮动,普通轮动,-11.5000,-17.9271,-8.9021,0.8249,0.7275,非核心科技
2026-07-17,BK1498,美容护理,化妆品,品牌化妆品,289,-3.6100,1431.0400,1453.6400,1384.1200,1384.5100,4.8400,1.8600,14.7083,226,-0.0200,-63,-0.8905,-3.3298,2.1955,-5.1444,-15.9251,-10.4293,1.9737,普通轮动,普通轮动,10.6000,0.2907,2.8213,0.4457,0.7982,非核心科技
2026-07-17,BK1607,医药生物,医药商业,医药流通,291,-3.6200,2066.8800,2095.6400,2007.6500,2008.1000,4.2200,2.2000,36.9495,286,-0.8000,-5,5.3475,5.9171,6.5653,-13.7096,-16.2973,-12.8392,10.8182,强势板块,强势板块,46.2000,9.8954,9.3043,0.2718,1.5213,非核心科技
2026-07-17,BK1297,传媒,数字媒体,图片媒体,291,-3.6200,2938.2800,2978.8100,2816.7000,2831.8900,5.5200,2.5900,2.9880,90,0.9200,-201,-8.7454,-17.7029,-16.6981,-18.6232,-33.1403,-3.5694,-16.6649,普通轮动,普通轮动,5.1000,-14.6119,-5.3179,0.6012,0.6623,非核心科技
2026-07-17,BK1465,建筑材料,装修建材,防水材料,293,-3.6400,6849.8700,6893.5900,6582.4200,6617.5000,4.5300,1.6700,4.9496,290,-0.8700,-3,-11.7594,-18.2197,-26.4473,-13.5772,-36.8738,-14.8145,-16.8820,普通轮动,普通轮动,-3.7000,-15.1304,-8.4261,0.7923,0.7725,非核心科技
2026-07-17,BK1601,医药生物,医疗服务,医院,294,-3.6700,6187.9600,6266.9000,6007.3600,6007.8000,4.1600,1.9100,36.6105,284,-0.7900,-10,0.9581,-2.4805,-0.0371,-17.0105,-23.6772,-15.1833,1.8151,上升轮动,上升轮动,37.6000,1.2348,4.8044,0.3169,1.0186,非核心科技
2026-07-17,BK1497,美容护理,化妆品,化妆品制造及其他,295,-3.7700,2275.8000,2300.2200,2198.2800,2203.3600,4.4500,1.3900,3.0011,190,0.2600,-105,-1.3874,-5.2544,-5.5859,-12.3462,-24.0869,-16.7096,-1.4134,普通轮动,普通轮动,13.2000,-1.5426,2.4759,0.4077,1.0042,非核心科技
2026-07-17,BK1322,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,296,-3.8400,8671.0800,8684.3000,8324.6800,8360.0900,4.1400,1.6000,91.7157,309,-1.6200,13,-13.2326,-14.3481,-19.3428,-15.7782,-29.2888,-3.5753,-19.1408,退潮,退潮,-22.7000,-10.9277,-9.7677,0.8499,0.9299,非核心科技
2026-07-17,BK1386,国防军工,军工电子Ⅱ,军工电子Ⅲ,297,-3.8900,6286.4900,6293.9100,6062.6700,6067.4900,3.6600,1.8000,151.2224,299,-1.1700,2,-15.5912,-18.0937,-16.2368,-22.2817,-28.6414,1.9832,-19.2289,退潮,退潮,-15.2000,-14.7786,-12.1748,0.7745,0.8939,非核心科技
2026-07-17,BK1608,医药生物,中药Ⅱ,中药Ⅲ,297,-3.8900,1361.0800,1377.2700,1319.1500,1319.6000,4.2300,2.2200,157.8700,298,-1.1200,1,2.8395,2.2009,7.3109,-5.5558,-10.2141,-10.2928,7.6710,强势板块,强势板块,35.7000,6.3374,7.0019,0.3970,1.6844,非核心科技
2026-07-17,BK1326,电子,半导体,半导体设备,297,-3.8900,53510.4200,53547.5000,51030.5500,51577.9800,4.6900,2.3800,419.4989,325,-2.5600,28,-24.5900,-16.8608,2.1387,52.3138,-26.3319,57.2032,-26.3319,退潮,退潮,-11.8000,-13.4958,-21.5379,0.9312,1.0331,核心科技
