code,symbol,name_sina,current_price,pct_today,amount_today,volume_today,bid,ask,name_nav,fund_type,nav_value,acc_nav_value,nav_growth_pct,premium_discount_pct,market_price_nav_source,scale_name,fund_share,scale_date,name,market,estimated_size_yi,category,theme,is_qdii,category_priority,amount_today_yi,data_issues,hist_rows,first_date,last_date,last_close,annual_return_3y,return_1y,return_6m,return_3m,return_20d,volatility_1y,max_drawdown_3y,max_drawdown_1y,current_drawdown,return_dd_ratio_1y,ma20,ma60,ma120,ma250,ma_state,price_vs_ma20_pct,pct_from_250_high,avg_amount_20d,avg_amount_60d,amount_stability,style_bucket,track_index,fund_size_yi,fee_rate,tracking_error_60d,valuation_pct_5y,dividend_yield,payout_ratio,style_corr_group,notes,updated_at,rank_return_3y,rank_return_1y,rank_return_6m,rank_return_dd,rank_low_vol,rank_amount,safety_score,return_score,income_score,execution_score,total_score,raw_grade,grade,hard_filter_ok,hard_filter_reason,action,reason,rank
520700,sh520700,港股通创新药ETF万家,1.27,3.928,617657026.0,483951000.0,1.27,1.271,港股通创新药ETF万,指数型-股票,,,,,1.27,创新药WJ,101076000.0,2025-01-15,港股通创新药ETF万,sh,1.2836652,SATELLITE,跨境,True,4,6.17657026,缺折溢价,411,2024-10-14,2026-06-23,1.222,0.15724704791054744,-0.15020862308762173,-0.20752269779507138,-0.14783821478382142,-0.12464183381088823,0.34355255858422545,-0.3801229508196722,-0.3801229508196722,-0.3739754098360656,-0.39515799496905335,1.27685,1.4397999999999997,1.4966833333333334,1.597696,跌破MA250,-0.042957277675529704,-0.3739754098360656,209193866.5,206368245.66666666,1.013692129931159,,,,,,,,,,,,0.5584415584415584,0.3333333333333333,0.33766233766233766,0.3472222222222222,0.48717948717948717,0.01282051282051282,8,14,5,3,30,D,D,False,F2规模<5亿,淘汰,F2规模<5亿 / 跌破MA250 / 回撤-38.0% / 1年-15.0%,56
512170,sh512170,医疗ETF华宝,0.302,1.342,714455655.0,2361449211.0,0.301,0.302,医疗ETF华宝,指数型-股票,,,,,0.302,医疗ETF,77812820500.0,2025-01-15,医疗ETF华宝,sh,234.99471791,SATELLITE,医药,False,4,7.14455655,缺折溢价,780,2023-03-31,2026-06-23,0.298,-0.1315697240121816,-0.10778443113772462,-0.1387283236994219,-0.0658307210031348,-0.07453416149068326,0.20289132649965855,-0.42025862068965514,-0.27611940298507476,-0.41796875,-0.39035442628257006,0.30174999999999996,0.32216666666666666,0.33765833333333334,0.350192,跌破MA250,-0.012427506213752992,-0.2587064676616916,551733771.2,572707033.35,0.9633787243238158,单一行业,中证医疗,231.1,0.5,0.5,15.0,,,SECTOR_HEALTH,nan,2026-06-16T16:32:27,0.12987012987012986,0.375,0.4155844155844156,0.3611111111111111,0.9743589743589743,0.2564102564102564,9,8,5,7,29,D,D,True,,淘汰,跌破MA250 / 回撤-42.0% / 1年-10.8%,57
513980,sh513980,港股科技ETF景顺,0.581,2.832,612023430.0,1061881791.0,0.58,0.581,港股科技ETF景顺,指数型-股票,,,,,0.581,科技港股,10614204000.0,2025-01-15,港股科技ETF景顺,sh,61.66852524,SATELLITE,跨境,True,4,6.1202343,缺折溢价,780,2023-03-31,2026-06-23,0.565,0.0493326743558542,-0.23024523160762944,-0.20310296191819466,-0.10883280757097802,-0.10459587955626004,0.26303762028005373,-0.37611408199643503,-0.3615819209039549,-0.3615819209039549,-0.63677196866485,0.6138999999999999,0.6353666666666666,0.6690416666666666,0.7244839999999999,跌破MA250,-0.07965466688385725,-0.3615819209039549,726584534.6,634461069.75,1.1451995547753622,,,,,,,,,,,,0.4025974025974026,0.2361111111111111,0.37662337662337664,0.20833333333333334,0.7692307692307693,0.44871794871794873,9,9,5,6,29,D,D,True,,淘汰,跌破MA250 / 回撤-37.6% / 1年-23.0%,58
513050,sh513050,中概互联网ETF易方达,1.002,1.212,2966822878.0,2971518697.0,1.001,1.002,中概互联网ETF易方,指数型-海外股票,,,,,1.002,中概互联,30844432700.0,2025-01-15,中概互联网ETF易方,sh,309.061215654,SATELLITE,跨境,True,4,29.66822878,缺折溢价,780,2023-03-31,2026-06-23,0.99,-0.0030120664381957374,-0.30330752990851517,-0.32698844323589404,-0.17978458989229495,-0.13234005258545134,0.26880678599886176,-0.4358974358974359,-0.4358974358974359,-0.4358974358974359,-0.6958231568489466,1.0951499999999998,1.1671333333333331,1.2902916666666668,1.4119920000000001,跌破MA250,-0.09601424462402397,-0.4358974358974359,2092772126.65,2160655251.733333,0.9685821581074189,,,,,,,,,,,,0.2597402597402597,0.09722222222222222,0.07792207792207792,0.125,0.7435897435897436,0.8076923076923077,9,6,5,8,28,D,D,True,,淘汰,跌破MA250 / 回撤-43.6% / 1年-30.3%,59
513330,sh513330,恒生互联网ETF华夏,0.353,0.57,2187279023.0,6204526731.0,0.352,0.353,恒生互联网ETF华夏,指数型-海外股票,,,,,0.353,恒生互联,65003480000.0,2025-01-15,恒生互联网ETF华夏,sh,229.4622844,SATELLITE,跨境,True,4,21.87279023,缺折溢价,780,2023-03-31,2026-06-23,0.351,-0.046580498005590054,-0.3021868787276343,-0.3144531250000001,-0.17798594847775184,-0.13759213759213762,0.2715778245413897,-0.43295638126009695,-0.43295638126009695,-0.43295638126009695,-0.697961484822409,0.39055000000000006,0.41436666666666666,0.45829166666666665,0.498916,跌破MA250,-0.10126744334912319,-0.43295638126009695,2190070228.8,2243931441.5833335,0.9759969436743003,,,,,,,,,,,,0.2077922077922078,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.7051282051282052,0.8333333333333334,9,6,5,8,28,D,D,True,,淘汰,跌破MA250 / 回撤-43.3% / 1年-30.2%,60
513060,sh513060,恒生医疗ETF博时,0.473,2.603,1016192005.0,2143305001.0,0.472,0.473,恒生医疗ETF博时,指数型-海外股票,,,,,0.473,恒生医疗,37410393300.0,2025-01-15,恒生医疗ETF博时,sh,176.951160309,SATELLITE,跨境,True,4,10.16192005,缺折溢价,780,2023-03-31,2026-06-23,0.461,-0.05252619244366419,-0.19686411149825778,-0.24052718286655683,-0.16636528028933095,-0.1252371916508539,0.2961704515791243,-0.38970588235294124,-0.3869680851063829,-0.3869680851063829,-0.5087347486140545,0.4835000000000001,0.5454666666666665,0.5791666666666667,0.621552,跌破MA250,-0.046535677352637195,-0.3869680851063829,588126797.6,585736495.0,1.0040808497001712,,,,,,,,,,,,0.16883116883116883,0.2916666666666667,0.22077922077922077,0.2777777777777778,0.6282051282051282,0.3076923076923077,8,8,5,7,28,D,D,True,,淘汰,跌破MA250 / 回撤-39.0% / 1年-19.7%,61
513780,sh513780,港股创新药ETF景顺,1.32,3.937,652321536.0,493083255.0,1.319,1.32,港股创新药ETF景顺,指数型-股票,,,,,1.32,港股新药,117157000.0,2025-01-15,港股创新药ETF景顺,sh,1.5464724,SATELLITE,跨境,True,4,6.52321536,缺折溢价,402,2024-10-25,2026-06-23,1.27,0.14801317950172677,-0.1470785762256549,-0.20625000000000004,-0.1459314055144587,-0.1229281767955801,0.34555227141422346,-0.3787803668815072,-0.3787803668815072,-0.37035200793257306,-0.388295141684746,1.3242499999999997,1.4939166666666668,1.553025,1.656976,跌破MA250,-0.040966584859354116,-0.37035200793257306,315183580.9,310259871.05,1.015869631587665,,,,,,,,,,,,0.5454545454545454,0.3472222222222222,0.36363636363636365,0.375,0.4358974358974359,0.05128205128205128,7,13,5,3,28,D,D,False,F2规模<5亿,淘汰,F2规模<5亿 / 跌破MA250 / 回撤-37.9% / 1年-14.7%,62
159892,sz159892,恒生医药ETF华夏,0.638,3.909,1093788978.0,1717198810.0,0.637,0.638,恒生医药ETF华夏,指数型-海外股票,,,,,0.638,恒生医药ETF华夏,7154266022.0,,恒生医药ETF华夏,sz,45.644217220360005,SATELLITE,跨境,True,4,10.93788978,缺折溢价,780,2023-03-31,2026-06-23,0.614,-0.009062332084192493,-0.1725067385444744,-0.2247474747474748,-0.16120218579234968,-0.12285714285714278,0.31592867125161844,-0.3805031446540881,-0.37627811860940696,-0.3721881390593047,-0.4584554084143912,0.6428,0.7258333333333333,0.7639666666666667,0.814108,跌破MA250,-0.044803982576229084,-0.3721881390593047,714128535.35,732737810.3833333,0.9746030916248231,,,,,,,,,,,,0.24675324675324675,0.3055555555555556,0.23376623376623376,0.3055555555555556,0.5256410256410257,0.4358974358974359,8,8,5,6,27,D,D,True,,淘汰,跌破MA250 / 回撤-38.1% / 1年-17.3%,63
159316,sz159316,港股通创新药ETF易方达,0.989,2.593,1053089345.0,1059012611.0,0.989,0.99,港股通创新药ETF易,指数型-股票,,,,,0.989,港股通创新药ETF易方达,4099336139.0,,港股通创新药ETF易,sz,40.54243441471,SATELLITE,跨境,True,4,10.53089345,缺折溢价,301,2025-03-26,2026-06-23,0.964,0.0008693027701038858,-0.2532920216886134,-0.26468344774980934,-0.18786857624262854,-0.14234875444839867,0.3361708391613078,-0.429585798816568,-0.429585798816568,-0.429585798816568,-0.5896191689445685,1.0169000000000001,1.1812166666666666,1.2367500000000002,1.354124,跌破MA250,-0.05202084767430437,-0.429585798816568,778954284.1,714591167.4833333,1.0900698462917509,,,,,,,,,,,,0.2727272727272727,0.1527777777777778,0.15584415584415584,0.2361111111111111,0.5,0.5,8,7,5,7,27,D,D,False,F1历史不足378日,观察,F1历史不足378日 / 跌破MA250 / 回撤-43.0% / 1年-25.3%,64
159506,sz159506,港股通创新药医疗ETF富国,1.064,2.802,661193294.0,618150376.0,1.063,1.064,港股通医疗ETF富国,指数型-股票,,,,,1.064,港股通创新药医疗ETF富国,2099536979.0,,港股通医疗ETF富国,sz,22.33907345656,SATELLITE,跨境,True,4,6.61193294,缺折溢价,720,2023-07-03,2026-06-23,1.035,0.013178153984695351,-0.20077220077220082,-0.24120234604105584,-0.17922283901665348,-0.14321192052980136,0.34542063290791675,-0.3987194412107101,-0.3987194412107101,-0.39755529685681024,-0.503542541498746,1.0917000000000001,1.2547,1.3166416666666667,1.408652,跌破MA250,-0.051937345424567405,-0.39755529685681024,371402600.1,380016674.78333336,0.9773323770904404,,,,,,,,,,,,0.2857142857142857,0.2777777777777778,0.2077922077922078,0.2916666666666667,0.44871794871794873,0.08974358974358974,8,9,5,5,27,D,D,True,,淘汰,跌破MA250 / 回撤-39.9% / 1年-20.1%,65
