indicator,latest_date,latest_value
官方制造业PMI,2025-08-31,49.4
官方非制造业PMI,2025-08-31,50.3
CPI同比,2025-08-09,0.0
PPI同比,2025-08-09,-3.6
工业增加值同比,2025-08-15,5.7
出口同比(美元),2025-08-07,7.2
进口同比(美元),2025-08-07,4.1
