date,open,high,low,close,volume,amount,adjustflag,turn,pctChg,ma5,ma10,ma20,ma60
2025-12-15,68.44,70.99,68.0,69.69,35282360,2472877049.81,2,1.1271,1.7818,,,,
2025-12-16,69.55,70.19,67.98,70.07,28023480,1936904685.7,2,0.8952,0.5453,,,,
2025-12-17,69.75,74.88,69.75,74.22,70113383,5120844678.26,2,2.2397,5.9226,,,,
2025-12-18,74.23,76.99,73.85,75.54,50672310,3846893662.17,2,1.6187,1.7785,,,,
2025-12-19,75.07,76.08,75.07,75.59,24316829,1837134932.31,2,0.7768,0.0662,73.022,,,
2025-12-22,75.59,76.19,75.11,75.79,26472838,2004993168.88,2,0.8457,0.2646,74.242,,,
2025-12-23,75.81,76.18,74.5,74.8,25929325,1947346578.55,2,0.8283,-1.3062,75.188,,,
2025-12-24,74.98,77.37,74.86,77.07,34606152,2645889116.5,2,1.1055,3.0348,75.75800000000001,,,
2025-12-25,77.09,78.5,76.67,76.71,24515318,1895398964.4,2,0.7831,-0.4671,75.992,,,
2025-12-26,76.6,78.0,75.7,76.98,27102918,2080354350.9,2,0.8658,0.352,76.27,74.646,,
2025-12-29,76.92,77.2,75.7,76.15,21379964,1633554870.76,2,0.683,-1.0782,76.342,75.292,,
2025-12-30,75.5,77.99,75.02,77.0,26628429,2041406060.75,2,0.8506,1.1162,76.78200000000001,75.985,,
2025-12-31,76.8,77.43,76.09,76.68,16402835,1257774024.46,2,0.524,-0.4156,76.70400000000001,76.231,,
2026-01-05,77.2,78.81,76.23,77.33,26156140,2019846152.14,2,0.8355,0.8477,76.828,76.41,,
2026-01-06,77.03,83.38,77.03,82.95,58461093,4756657065.84,2,1.8675,7.2676,78.022,77.146,,
2026-01-07,82.25,83.66,81.4,81.93,32322327,2667257099.11,2,1.0325,-1.2297,79.178,77.76,,
2026-01-08,81.92,81.92,78.43,79.69,46547605,3697350415.74,2,1.4869,-2.734,79.716,78.249,,
2026-01-09,80.0,80.61,78.41,79.35,33361851,2643914243.84,2,1.0657,-0.4267,80.25,78.477,,
2026-01-12,79.33,79.88,77.66,78.14,37575205,2938767155.84,2,1.2003,-1.5249,80.412,78.62,,
2026-01-13,78.08,80.13,77.77,78.76,35511188,2805735943.18,2,1.1344,0.7934,79.574,78.798,76.72200000000001,
2026-01-14,78.67,80.56,77.8,77.8,41867618,3303436528.93,2,1.3374,-1.2189,78.748,78.963,77.1275,
2026-01-15,77.5,80.94,77.31,79.46,39913965,3189892338.66,2,1.275,2.1337,78.702,79.209,77.59700000000001,
2026-01-16,80.15,81.18,78.0,78.72,33361211,2643212842.23,2,1.0657,-0.9313,78.576,79.413,77.822,
2026-01-19,77.9,82.79,77.39,82.4,50734380,4113634693.66,2,1.6207,4.6748,79.428,79.92,78.16499999999999,
